"Gene","GeneName"
"LOC100578071","PREDICTED: DNA polymerase zeta catalytic subunit"
"LOC551374","PREDICTED: G2/M phase-specific E3 ubiquitin-protein ligase-like"
"LOC102655640","PREDICTED: uncharacterized protein LOC102655640"
"LOC409952","PREDICTED: uncharacterized protein LOC409952"
"LOC412470","PREDICTED: MAP kinase-interacting serine/threonine-protein kinase 1"
"LOC552481","PREDICTED: LOW QUALITY PROTEIN: INO80 complex subunit C"
"LOC100578281","PREDICTED: LOW QUALITY PROTEIN: rab3 GTPase-activating protein non-catalytic subunit"
"LOC726424","PREDICTED: metabotropic glutamate receptor"
"LOC725395","PREDICTED: bifunctional glutamate/proline--tRNA ligase, partial"
"LOC410649","PREDICTED: tyrosine-protein kinase Btk29A"
"LOC107963996","PREDICTED: leucine-rich repeat-containing protein 70-like"
"LOC100577163","PREDICTED: insulin-like growth factor-binding protein complex acid labile subunit"
"LOC102654289","PREDICTED: uncharacterized protein LOC102654289"
"LOC102656292","PREDICTED: uncharacterized protein LOC102656292"
"LOC107965664","PREDICTED: uncharacterized protein LOC107965664"
"LOC551799","PREDICTED: putative mediator of RNA polymerase II transcription subunit 26"
"LOC100577697","PREDICTED: uncharacterized protein LOC100577697"
"LOC413121","PREDICTED: 39S ribosomal protein L22, mitochondrial"
"LOC107965670","PREDICTED: uncharacterized protein LOC107965670"
"LOC100576410","PREDICTED: uncharacterized protein LOC100576410"
"LOC409655","PREDICTED: uncharacterized protein LOC409655"
"LOC551214","PREDICTED: uncharacterized protein LOC551214"
"LOC107965672","PREDICTED: uncharacterized protein LOC107965672"
"LOC724468","PREDICTED: uncharacterized protein LOC724468"
"LOC107965673","PREDICTED: uncharacterized protein LOC107965673"
"LOC107965674","PREDICTED: 39S ribosomal protein L55, mitochondrial"
"LOC412813","PREDICTED: neuronal growth regulator 1"
"LOC414036","PREDICTED: ankyrin repeat domain-containing protein 39-like"
"LOC409366","PREDICTED: integral membrane protein 2C"
"LOC107965687","PREDICTED: uncharacterized protein LOC107965687"
"LOC552086","PREDICTED: aldose 1-epimerase"
"LOC100576384","PREDICTED: tyrosine-protein phosphatase 10D"
"LOC552100","PREDICTED: protein ovo"
"LOC551947","PREDICTED: WD repeat and FYVE domain-containing protein 3"
"LOC107965692","PREDICTED: poly(ADP-ribose) glycohydrolase-like"
"LOC550989","PREDICTED: palmitoyltransferase ZDHHC15"
"LOC100578035","PREDICTED: sphingolipid delta(4)-desaturase DES1"
"LOC550975","PREDICTED: uncharacterized protein LOC550975"
"LOC411469","PREDICTED: integrator complex subunit 1"
"LOC412513","PREDICTED: uncharacterized protein LOC412513"
"LOC724807","PREDICTED: LOW QUALITY PROTEIN: protein FAM32A"
"LOC552533","PREDICTED: GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"
"LOC100578662","PREDICTED: cadherin EGF LAG seven-pass G-type receptor 1-like"
"LOC107965695","PREDICTED: scavenger receptor class B member 1-like"
"LOC413891","PREDICTED: NADH-ubiquinone oxidoreductase 49 kDa subunit"
"LOC412187","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5-like"
"LOC725007","PREDICTED: spermine oxidase"
"LOC102654520","PREDICTED: putative uncharacterized protein DDB_G0282133"
"LOC102654597","PREDICTED: zinc finger protein 239-like"
"LOC107963959","PREDICTED: uncharacterized protein LOC107963959"
"LOC409572","PREDICTED: TWiK family of potassium channels protein 7-like"
"LOC552113","PREDICTED: long-chain fatty acid transport protein 4"
"LOC551530","PREDICTED: putative U5 small nuclear ribonucleoprotein 200 kDa helicase"
"LOC107965706","PREDICTED: uncharacterized protein LOC107965706"
"LOC107965707","PREDICTED: uncharacterized protein LOC107965707"
"LOC551871","PREDICTED: P protein-like"
"LOC551280","PREDICTED: uncharacterized protein LOC551280"
"LOC107965709","PREDICTED: uncharacterized protein LOC107965709"
"LOC100577966","PREDICTED: uncharacterized protein LOC100577966"
"LOC107965712","PREDICTED: uncharacterized protein LOC107965712"
"LOC100577692","PREDICTED: transcription factor btd"
"LOC410643","PREDICTED: homeobox protein abdominal-A homolog"
"LOC102656757","PREDICTED: homeobox protein Hox-B4-like"
"LOC102656112","PREDICTED: uncharacterized protein LOC102656112"
"LOC107965717","PREDICTED: uncharacterized protein LOC107965717"
"LOC107965718","PREDICTED: uncharacterized protein LOC107965718"
"LOC107965719","PREDICTED: uncharacterized protein LOC107965719"
"LOC102656349","PREDICTED: uncharacterized protein LOC102656349"
"LOC102655316","PREDICTED: uncharacterized protein LOC102655316"
"LOC409546","PREDICTED: lachesin"
"LOC100578074","PREDICTED: uncharacterized protein LOC100578074"
"LOC102656403","PREDICTED: histone-lysine N-methyltransferase SETMAR-like, partial"
"LOC408579","PREDICTED: thrombospondin type-1 domain-containing protein 4-like"
"LOC552115","PREDICTED: 12 kDa FK506-binding protein"
"LOC107965746","PREDICTED: uncharacterized protein LOC107965746"
"LOC102654782","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102654782"
"LOC725918","PREDICTED: 39S ribosomal protein L53, mitochondrial"
"LOC411568","PREDICTED: bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66"
"LOC107964024","PREDICTED: uncharacterized protein LOC107964024"
"LOC102654116","PREDICTED: transcription factor HIVEP2-like"
"LOC409422","PREDICTED: uncharacterized protein LOC409422"
"LOC552667","PREDICTED: protein charybde-like"
"LOC102655050","PREDICTED: vacuolar protein sorting-associated protein 13-like protein"
"LOC410161","PREDICTED: putative uncharacterized protein DDB_G0282133"
"LOC727354","PREDICTED: vacuolar protein sorting-associated protein VTA1 homolog"
"LOC724402","PREDICTED: uncharacterized protein LOC724402"
"LOC551485","PREDICTED: uncharacterized protein LOC551485"
"LOC100578943","PREDICTED: transmembrane protein 258"
"LOC107963982","PREDICTED: protein tweety"
"LOC551518","PREDICTED: glutamyl aminopeptidase"
"LOC107965751","PREDICTED: uncharacterized protein LOC107965751"
"LOC107965748","PREDICTED: splicing factor 3B subunit 4-like"
"LOC100578030","PREDICTED: antitrypsin-like"
"LOC100578304","PREDICTED: uncharacterized protein LOC100578304, partial"
"LOC726554","PREDICTED: carboxypeptidase M"
"LOC411986","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC411986, partial"
"LOC107965756","PREDICTED: uncharacterized protein LOC107965756"
"LOC411536","PREDICTED: E3 ubiquitin-protein ligase HERC2"
"LOC552280","PREDICTED: protein SDA1 homolog"
"LOC552175","PREDICTED: mitochondrial-processing peptidase subunit alpha"
"LOC107965760","PREDICTED: putative odorant receptor 92a"
"LOC724673","PREDICTED: uncharacterized protein LOC724673"
"LOC102655285","PREDICTED: odorant receptor 85b-like"
"LOC107965761","PREDICTED: uncharacterized protein LOC107965761"
"LOC727257","PREDICTED: peroxisomal membrane protein PEX13, partial"
"LOC727127","PREDICTED: NK-tumor recognition protein-like"
"LOC726558","PREDICTED: low-density lipoprotein receptor-related protein 8-like"
"LOC412644","PREDICTED: josephin-2"
"LOC724370","PREDICTED: probable cytosolic Fe-S cluster assembly factor AGAP009023"
"LOC102653695","PREDICTED: uncharacterized protein LOC102653695"
"LOC102653738","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102653738"
"LOC102653615","PREDICTED: uncharacterized protein LOC102653615"
"LOC102653652","PREDICTED: uncharacterized protein LOC102653652"
"LOC102653858","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102653858"
"LOC107965762","PREDICTED: uncharacterized protein LOC107965762"
"LOC102653778","PREDICTED: uncharacterized protein LOC102653778"
"LOC107965763","PREDICTED: odorant receptor 30a-like"
"LOC102653814","PREDICTED: uncharacterized protein LOC102653814"
"LOC107965765","PREDICTED: uncharacterized protein LOC107965765"
"LOC726834","PREDICTED: uncharacterized protein LOC726834"
"LOC107965771","PREDICTED: uncharacterized protein LOC107965771"
"LOC107965772","PREDICTED: uncharacterized protein LOC107965772"
"LOC727302","PREDICTED: prominin-1-A"
"LOC107965773","PREDICTED: larval cuticle protein LCP-17-like"
"LOC727574","PREDICTED: LOW QUALITY PROTEIN: transcription initiation factor TFIID subunit 3-like"
"LOC107965774","PREDICTED: uncharacterized protein LOC107965774"
"LOC100578836","PREDICTED: putative uncharacterized protein DDB_G0286901"
"LOC100576436","PREDICTED: putative ATP-dependent RNA helicase TDRD12"
"LOC412510","PREDICTED: uncharacterized protein LOC412510"
"LOC411960","PREDICTED: zinc finger protein 184-like"
"LOC725807","PREDICTED: AP-2 complex subunit sigma"
"LOC725563","PREDICTED: uncharacterized protein LOC725563"
"LOC107965775","PREDICTED: uncharacterized protein LOC107965775"
"LOC727524","PREDICTED: outer dense fiber protein 3B, partial"
"LOC552238","PREDICTED: cilia- and flagella-associated protein 52"
"LOC107965776","PREDICTED: nibrin-like"
"LOC552200","PREDICTED: probable histone-binding protein Caf1"
"LOC412679","PREDICTED: rap1 GTPase-GDP dissociation stimulator 1-B"
"LOC100577649","PREDICTED: LOW QUALITY PROTEIN: kinesin-like protein Klp61F"
"LOC552680","PREDICTED: X-ray repair cross-complementing protein 6-like"
"LOC107963961","PREDICTED: condensin complex subunit 2-like"
"LOC412394","PREDICTED: alpha-L-fucosidase"
"LOC409387","PREDICTED: ubiquitin carboxyl-terminal hydrolase"
"LOC552437","PREDICTED: phospholipid phosphatase 6"
"LOC725281","PREDICTED: probable malate dehydrogenase, mitochondrial"
"LOC727393","PREDICTED: putative SERF-like protein"
"LOC725529","PREDICTED: kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like"
"LOC726053","PREDICTED: EH domain-binding protein 1"
"LOC552418","PREDICTED: cytochrome P450 6k1"
"LOC727618","PREDICTED: farnesyl pyrophosphate synthase"
"LOC107965784","PREDICTED: histone-lysine N-methyltransferase SETMAR-like"
"LOC413692","PREDICTED: protein fem-1 homolog B"
"LOC412594","PREDICTED: uncharacterized protein LOC412594, partial"
"LOC550941","PREDICTED: ABC transporter G family member 20-like, partial"
"LOC107965788","PREDICTED: probable serine/threonine-protein kinase DDB_G0279719"
"LOC727288","PREDICTED: RNA-binding protein NOB1, partial"
"LOC551953","PREDICTED: uncharacterized protein LOC551953"
"LOC100577607","PREDICTED: dehydrogenase/reductase SDR family member 4-like"
"LOC107965791","PREDICTED: uncharacterized protein LOC107965791"
"LOC725909","PREDICTED: probable cysteine--tRNA ligase, mitochondrial"
"LOC107965792","PREDICTED: uncharacterized protein LOC107965792"
"LOC552407","PREDICTED: UNC93-like protein MFSD11"
"LOC107965795","PREDICTED: lactosylceramide 4-alpha-galactosyltransferase-like"
"LOC724942","PREDICTED: putative phosphatidate phosphatase"
"LOC550829","PREDICTED: DNA-directed RNA polymerase II subunit RPB1"
"LOC100578805","PREDICTED: uncharacterized protein LOC100578805"
"LOC727350","PREDICTED: LOW QUALITY PROTEIN: ceramide synthase 6"
"LOC727168","PREDICTED: LOW QUALITY PROTEIN: 1,4-alpha-glucan-branching enzyme"
"LOC100576862","PREDICTED: speckle targeted PIP5K1A-regulated poly(A) polymerase-like"
"LOC411502","PREDICTED: SPARC-related modular calcium-binding protein 1"
"LOC412540","PREDICTED: carcinine transporter"
"LOC409402","PREDICTED: uncharacterized protein LOC409402"
"LOC107965797","PREDICTED: protein transport protein Sec31A-like"
"LOC551465","PREDICTED: LOW QUALITY PROTEIN: homogentisate 1,2-dioxygenase"
"LOC409268","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC409268"
"LOC102656110","PREDICTED: UPF0568 protein C14orf166 homolog"
"LOC102655897","PREDICTED: uncharacterized protein LOC102655897"
"LOC727173","PREDICTED: pancreatic triacylglycerol lipase"
"LOC409388","PREDICTED: ras-related protein Rab-18-B"
"LOC100577752","PREDICTED: LOW QUALITY PROTEIN: F-box only protein 43-like"
"LOC100577943","PREDICTED: scavenger receptor class B member 1-like"
"LOC107965801","PREDICTED: uncharacterized protein LOC107965801"
"LOC100578126","PREDICTED: LOW QUALITY PROTEIN: zinc finger and BTB domain-containing protein 24-like"
"LOC726444","PREDICTED: ectonucleoside triphosphate diphosphohydrolase 5"
"LOC724622","PREDICTED: DNA-binding protein RFX7"
"LOC724446","PREDICTED: ragulator complex protein LAMTOR2"
"LOC107965807","PREDICTED: E3 ubiquitin-protein ligase Arkadia-like"
"LOC411655","PREDICTED: serine/arginine repetitive matrix protein 1"
"LOC412721","PREDICTED: nuclear pore complex protein Nup155"
"LOC413578","PREDICTED: U2 snRNP-associated SURP motif-containing protein"
"LOC726108","PREDICTED: E3 ubiquitin-protein ligase MSL2"
"LOC724984","PREDICTED: peptidyl-prolyl cis-trans isomerase-like 1"
"LOC409554","PREDICTED: intersectin-2"
"LOC107965813","PREDICTED: uncharacterized protein LOC107965813"
"LOC100577905","PREDICTED: probable serine/threonine-protein kinase DDB_G0282963"
"LOC412316","PREDICTED: sodium/potassium/calcium exchanger 3-like"
"LOC100577872","PREDICTED: uncharacterized protein LOC100577872, partial"
"LOC100577753","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100577753"
"LOC107964026","PREDICTED: farnesyl diphosphate synthase 2-like"
"LOC412771","PREDICTED: farnesyl pyrophosphate synthase-like"
"LOC102655120","PREDICTED: transcription factor HNF-4 homolog, partial"
"LOC552677","PREDICTED: protein polybromo-1"
"LOC552599","PREDICTED: DNA-directed RNA polymerase II subunit RPB7"
"LOC552662","PREDICTED: LOW QUALITY PROTEIN: non-canonical poly(A) RNA polymerase PAPD5-like"
"LOC102656733","PREDICTED: uncharacterized protein LOC102656733"
"LOC551205","PREDICTED: neutral alpha-glucosidase AB"
"LOC107965816","PREDICTED: uncharacterized protein LOC107965816"
"LOC107965817","PREDICTED: DNA replication complex GINS protein PSF3"
"LOC107965818","PREDICTED: uncharacterized protein LOC107965818"
"LOC725069","PREDICTED: peptide transporter family 1"
"LOC107964025","PREDICTED: uncharacterized protein LOC107964025"
"LOC726501","PREDICTED: uroporphyrinogen decarboxylase"
"LOC409581","PREDICTED: F-actin-capping protein subunit beta"
"LOC552572","PREDICTED: eukaryotic translation initiation factor 5A"
"LOC725711","PREDICTED: activin receptor type-1"
"LOC107965822","PREDICTED: uncharacterized protein LOC107965822"
"LOC727639","PREDICTED: uncharacterized protein LOC727639"
"LOC727432","PREDICTED: protein phosphatase inhibitor 2-like"
"LOC102655287","PREDICTED: uncharacterized protein LOC102655287, partial"
"LOC412355","PREDICTED: diacylglycerol kinase eta"
"LOC551724","PREDICTED: S-adenosylmethionine decarboxylase proenzyme"
"LOC107965825","PREDICTED: uncharacterized protein LOC107965825"
"LOC102655612","PREDICTED: tRNA (guanine(37)-N1)-methyltransferase"
"LOC551231","PREDICTED: phosphatidate cytidylyltransferase, photoreceptor-specific"
"LOC724822","PREDICTED: glucose-fructose oxidoreductase domain-containing protein 1"
"LOC102656055","PREDICTED: uncharacterized protein LOC102656055"
"LOC726483","PREDICTED: isoleucine--tRNA ligase, mitochondrial"
"LOC411811","PREDICTED: LOW QUALITY PROTEIN: xenotropic and polytropic retrovirus receptor 1-like"
"LOC102656577","PREDICTED: uncharacterized protein LOC102656577"
"LOC100578349","PREDICTED: uncharacterized protein LOC100578349"
"LOC107965827","PREDICTED: uncharacterized protein LOC107965827"
"LOC725442","PREDICTED: cholesterol 7-desaturase, partial"
"LOC725267","PREDICTED: uncharacterized protein LOC725267"
"LOC725409","PREDICTED: 7-methylguanosine phosphate-specific 5'-nucleotidase"
"LOC107965828","PREDICTED: cholesterol 7-desaturase-like, partial"
"LOC102653979","PREDICTED: odorant receptor 4-like, partial"
"LOC102654033","PREDICTED: protein TAPT1 homolog"
"LOC551881","PREDICTED: ATP-dependent helicase brm"
"LOC107965830","PREDICTED: histone-lysine N-methyltransferase SETMAR-like"
"LOC102654783","PREDICTED: uncharacterized protein LOC102654783"
"LOC552774","PREDICTED: 60S ribosomal protein L28"
"LOC552066","PREDICTED: FAD-dependent oxidoreductase domain-containing protein 1"
"LOC551936","PREDICTED: facilitated trehalose transporter Tret1"
"LOC551907","PREDICTED: kelch domain-containing protein 4"
"LOC551464","PREDICTED: TRAF3-interacting protein 1"
"LOC726110","PREDICTED: glutamate-rich WD repeat-containing protein 1"
"LOC100576649","PREDICTED: mismatch repair endonuclease PMS2"
"LOC107965836","PREDICTED: protein MEMO1-like, partial"
"LOC409032","PREDICTED: peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase"
"LOC726290","PREDICTED: E3 ubiquitin-protein ligase TRAIP-like"
"LOC726340","PREDICTED: zinc finger MYND domain-containing protein 10-like, partial"
"LOC107965837","PREDICTED: alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit-like, partial"
"LOC107965838","PREDICTED: poly(U)-specific endoribonuclease homolog"
"LOC107965839","PREDICTED: uncharacterized protein LOC107965839"
"LOC100577795","PREDICTED: probable serine/threonine-protein kinase DDB_G0282963"
"LOC107965841","PREDICTED: lactosylceramide 4-alpha-galactosyltransferase-like"
"LOC107965842","PREDICTED: histone-lysine N-methyltransferase 2D-like, partial"
"LOC102654684","PREDICTED: uncharacterized protein LOC102654684"
"LOC102654644","PREDICTED: uncharacterized protein LOC102654644"
"LOC727166","PREDICTED: acyl-CoA Delta(11) desaturase-like"
"LOC552176","PREDICTED: acyl-CoA Delta(11) desaturase"
"LOC107965845","PREDICTED: uncharacterized protein LOC107965845"
"LOC107965847","PREDICTED: uncharacterized protein LOC107965847"
"LOC412646","PREDICTED: uncharacterized protein LOC412646"
"LOC100578372","PREDICTED: LOW QUALITY PROTEIN: adenylosuccinate lyase-like"
"LOC107965849","PREDICTED: aspartic acid-rich protein-like"
"LOC107965850","PREDICTED: uncharacterized protein LOC107965850"
